名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
中沢 綾,なかざわ あや,nakazawa_aya@example.com,女,31,1988/11/5,既婚,B型,秋田県,05,023-609-9015,090-6338-6293,ソフトバンク,左ルー・せき止め派
阪本 基祐,さかもと きすけ,sakamoto_kisuke@example.com,男,40,1979/7/10,既婚,A型,福井県,18,068-519-3444,090-7657-4440,ドコモ,右ルー・混ぜ混ぜ派
鹿賀 進,かが すすむ,kaga_susumu@example.com,男,59,1960/6/26,既婚,O型,神奈川県,14,046-805-9026,080-9741-6250,ドコモ,右ルー・混ぜ混ぜ派
宮坂 勇一,みやさか ゆういち,miyasaka_yuuichi@example.com,男,45,1974/3/24,既婚,B型,新潟県,15,051-239-2616,090-9638-8740,ドコモ,右ルー・せき止め派
水口 隼士,みずぐち しゅんじ,mizuguchi_shunji@example.com,男,68,1951/3/11,既婚,AB型,千葉県,12,082-760-7444,090-8571-2422,au,左ルー・せき止め派
木村 美幸,きむら みゆき,kimura_miyuki@example.com,女,40,1979/3/20,既婚,O型,兵庫県,28,044-157- 976,090-7775-6841,ドコモ,奥ルー・混ぜ混ぜ派
吹越 悟志,ふきこし さとし,fukikoshi_satoshi@example.com,男,81,1938/5/7,既婚,A型,千葉県,12,047-560-2609,080-8025-8916,ドコモ,ぶっかけ・別口派
宮坂 そら,みやさか そら,miyasaka_sora@example.com,女,63,1957/1/6,既婚,A型,沖縄県,47,095-119-3233,090-6888-3274,au,左ルー・せき止め派
小野田 右京,おのだ うきょう,onoda_ukyou@example.com,男,43,1976/10/6,既婚,O型,山口県,35,064-620-6817,090-6081-6130,au,ぶっかけ・せき止め派
谷川 正義,たにかわ まさよし,tanikawa_masayoshi@example.com,男,64,1955/6/30,既婚,A型,栃木県,09,052-274- 808,090-4183-5797,ドコモ,手前ルー・別口派
山村 広司,やまむら こうじ,yamamura_kouji@example.com,男,70,1950/1/12,既婚,A型,沖縄県,47,057-554-8970,080-9324-2121,ドコモ,左ルー・混ぜ混ぜ派
菊田 美嘉,きくた みか,kikuta_mika@example.com,女,27,1992/3/25,未婚,A型,福岡県,40,026-108-1759,080-8492-6652,ソフトバンク,手前ルー・ルー攻め派
岡本 薫,おかもと かおる,okamoto_kaoru@example.com,男,24,1995/7/9,未婚,AB型,神奈川県,14,0 9-681-8748,080-8529-2950,ドコモ,奥ルー・混ぜ混ぜ派
松野 陽介,まつの ようすけ,matsuno_yousuke@example.com,男,56,1963/6/17,既婚,A型,福岡県,40,093-219-1891,080-9759-4880,ソフトバンク,左ルー・別口派
金山 妃里,かなやま ゆり,kanayama_yuri@example.com,女,80,1940/1/4,既婚,A型,茨城県,08,023-475-2738,080-6627-9516,au,ぶっかけ・せき止め派
高倉 秀隆,たかくら ひでたか,takakura_hidetaka@example.com,男,80,1939/10/10,既婚,A型,奈良県,29,022-719-2157,080-7184-3056,ソフトバンク,左ルー・ルー攻め派
小柳 達士,こやなぎ たつひと,koyanagi_tatsuhito@example.com,男,24,1995/2/25,未婚,A型,兵庫県,28,0 5-846-8595,080-9693-1855,ソフトバンク,左ルー・別口派
宇都宮 かおり,うつのみや かおり,utsunomiya_kaori@example.com,女,26,1993/12/23,未婚,O型,愛知県,23,080-541-1535,090-8856-3309,ソフトバンク,ぶっかけ・ルー攻め派
三木 みゆき,みき みゆき,miki_miyuki@example.com,女,59,1960/4/2,既婚,O型,北海道,01,011-847-3357,080-5316-5472,ドコモ,右ルー・せき止め派
熊倉 美紀,くまくら みき,kumakura_miki@example.com,女,57,1962/4/4,既婚,O型,福岡県,40,099-637-9394,090-6041-4149,au,奥ルー・せき止め派
豊島 孝太郎,とよしま こうたろう,toyoshima_koutarou@example.com,男,26,1993/12/22,既婚,O型,兵庫県,28,088-721-3600,080- 362-5461,ドコモ,右ルー・せき止め派
田所 文世,たどころ ふみよ,tadokoro_fumiyo@example.com,女,68,1951/8/20,既婚,B型,福井県,18,035-114-9735,080-9641-5054,ソフトバンク,左ルー・ルー攻め派
吉永 寿明,よしなが としあき,yoshinaga_toshiaki@example.com,男,35,1984/3/5,既婚,O型,神奈川県,14,0 9-528-8697,090-9772-3450,ドコモ,ぶっかけ・ルー攻め派
尾崎 優,おざき ゆう,ozaki_yuu@example.com,女,64,1955/8/4,既婚,A型,大阪府,27,029-800-4443,080-9528-1625,au,右ルー・ルー攻め派
木内 大,きうち まさる,kiuchi_masaru@example.com,男,33,1987/1/14,既婚,A型,宮城県,04,025-328-6850,090-9498-5179,ドコモ,左ルー・別口派
臼井 一代,うすい かずよ,usui_kazuyo@example.com,女,22,1997/6/17,未婚,A型,神奈川県,14,083-525-5147,080-1457-6882,au,左ルー・ナン派
松永 仁,まつなが じん,matsunaga_jin@example.com,男,36,1984/1/12,既婚,A型,三重県,24,0 5-667-3813,090-3908-3027,ドコモ,ぶっかけ・混ぜ混ぜ派
秋田 美佐子,あきた みさこ,akita_misako@example.com,女,73,1946/5/24,既婚,B型,神奈川県,14,098-451-6535,080-5330-6649,ソフトバンク,右ルー・ナン派
川田 照生,かわた てるお,kawata_teruo@example.com,男,36,1983/9/5,未婚,B型,東京都,13,039-365-8194,090-7368-7359,au,右ルー・せき止め派
大崎 綾,おおさき あや,oosaki_aya@example.com,女,65,1954/5/3,既婚,A型,福岡県,40,050- 30-7813,080- 617-7541,ソフトバンク,ぶっかけ・せき止め派
三橋 美咲,みはし みさき,mihashi_misaki@example.com,女,77,1942/7/1,既婚,AB型,神奈川県,14,066-887-1074,090- 523-4021,au,ぶっかけ・ルー攻め派
宮沢 美佐,みやざわ みさ,miyazawa_misa@example.com,女,57,1962/5/10,既婚,B型,千葉県,12,0 5-136- 307,080-1231- 334,ソフトバンク,左ルー・ルー攻め派
高野 圭,たかの けい,takano_kei@example.com,男,71,1949/1/1,既婚,A型,愛知県,23,037- 78-2094,080-5010-7133,ドコモ,左ルー・ルー攻め派
中 美嘉,なか みか,naka_mika@example.com,女,15,2004/8/9,未婚,AB型,岐阜県,21,076-439-8039,080-6270-4133,au,手前ルー・せき止め派
野田 砂羽,のだ さわ,noda_sawa@example.com,女,62,1957/4/8,既婚,AB型,新潟県,15,0 7-185-5484,090-7367-6290,au,ぶっかけ・別口派
関谷 亮,せきや りょう,sekiya_ryou@example.com,男,50,1969/11/19,既婚,B型,広島県,34,015- 89-1264,080-1686-9070,ドコモ,手前ルー・ルー攻め派
永島 一恵,ながしま かづえ,nagashima_kadue@example.com,女,24,1995/12/25,未婚,B型,山口県,35,090-409-9141,090-1128-9268,ドコモ,左ルー・せき止め派
阿久津 菜々美,あくつ ななみ,akutsu_nanami@example.com,女,45,1975/1/12,既婚,A型,北海道,01,035-439-7794,090-4301-2440,ドコモ,ぶっかけ・混ぜ混ぜ派
池田 奈月,いけだ なつき,ikeda_natsuki@example.com,女,71,1948/7/22,既婚,O型,熊本県,43,064-379-4025,090-8590-3289,ドコモ,右ルー・ルー攻め派
竹下 勇介,たけした ゆうすけ,takeshita_yuusuke@example.com,男,16,2003/9/21,未婚,O型,兵庫県,28,075- 50-6465,080-7408-7133,ドコモ,奥ルー・ルー攻め派
上原 恵美,うえはら めぐみ,uehara_megumi@example.com,女,60,1960/2/13,未婚,A型,愛知県,23,040-760-1904,080- 644-8414,ドコモ,ぶっかけ・混ぜ混ぜ派
柏木 亮介,かしわぎ りょうすけ,kashiwagi_ryousuke@example.com,男,59,1961/1/7,既婚,A型,東京都,13,076-538-1670,090-8245-8142,ドコモ,左ルー・混ぜ混ぜ派
氏家 礼子,うじいえ れいこ,ujiie_reiko@example.com,女,33,1986/5/28,未婚,A型,東京都,13,027-281-1890,090-7128-5038,ドコモ,奥ルー・混ぜ混ぜ派
大塚 エリカ,おおつか えりか,ootsuka_erika@example.com,女,18,2001/12/14,未婚,O型,三重県,24,014-617-1720,080- 152-2635,ドコモ,右ルー・ルー攻め派
筧 恵望子,かけい えみこ,kakei_emiko@example.com,女,19,2000/12/10,未婚,A型,東京都,13,058-689-6557,090-5560-1664,ドコモ,奥ルー・混ぜ混ぜ派
菊池 啓介,きくち けいすけ,kikuchi_keisuke@example.com,男,76,1943/4/13,既婚,A型,岩手県,03,033-642-6882,090-7087- 796,ドコモ,右ルー・せき止め派
村木 龍吉,むらき りゅうきち,muraki_ryuukichi@example.com,男,40,1979/6/27,既婚,B型,神奈川県,14,077-239-9540,080-7482-  94,ドコモ,ぶっかけ・混ぜ混ぜ派
寺田 敏也,てらだ としや,terada_toshiya@example.com,男,49,1970/3/23,未婚,B型,京都府,26,0 2-522-2922,090-5265-6747,ドコモ,別盛り・せき止め派
桜井 勝久,さくらい かつひさ,sakurai_katsuhisa@example.com,男,34,1985/9/11,未婚,B型,東京都,13,054- 23-1400,090-4150-1988,ドコモ,手前ルー・せき止め派
島田 貴美子,しまだ きみこ,shimada_kimiko@example.com,女,49,1970/7/22,未婚,O型,福岡県,40,061-901-3719,090-6302-2726,ソフトバンク,左ルー・せき止め派
野沢 誠治,のざわ せいじ,nozawa_seiji@example.com,男,63,1956/10/15,既婚,A型,新潟県,15,022-416-9701,090-5334-6700,au,右ルー・ルー攻め派
佐川 寛治,さがわ かんじ,sagawa_kanji@example.com,男,30,1989/4/3,未婚,B型,大阪府,27,050-555-9731,090-9909-6614,au,ぶっかけ・別口派
平 みき,たいら みき,taira_miki@example.com,女,41,1978/6/7,既婚,A型,東京都,13,090-230-9485,080-5926-2903,ドコモ,右ルー・せき止め派
柳 宏,やなぎ ひろし,yanagi_hiroshi@example.com,男,11,2009/2/4,未婚,A型,静岡県,22,084-327-8848,090-9794-8589,ドコモ,左ルー・ナン派
石本 美幸,いしもと みゆき,ishimoto_miyuki@example.com,女,78,1941/6/17,既婚,AB型,熊本県,43,061-322- 905,080-4384-5262,ソフトバンク,左ルー・別口派
溝口 砂羽,みぞぐち さわ,mizoguchi_sawa@example.com,女,77,1942/4/1,既婚,O型,青森県,02,076-152-9920,080-3116-9952,au,左ルー・ルー攻め派
丹羽 結子,たんば ゆうこ,tannba_yuuko@example.com,女,82,1937/7/25,既婚,O型,神奈川県,14,079-838-9901,080-8398-9426,ソフトバンク,ぶっかけ・ナン派
平野 勇太,ひらの ゆうた,hirano_yuuta@example.com,男,26,1993/9/21,既婚,A型,東京都,13,0 9-701-8109,090-1295-6741,ドコモ,左ルー・ルー攻め派
佐伯 芳正,さえき よしまさ,saeki_yoshimasa@example.com,男,38,1981/12/27,既婚,A型,大阪府,27,059-563-6451,090-5451-9632,ドコモ,奥ルー・混ぜ混ぜ派
米沢 さとみ,よねざわ さとみ,yonezawa_satomi@example.com,女,49,1970/6/22,既婚,A型,埼玉県,11,049-130-3412,080-9884- 772,ソフトバンク,奥ルー・ルー攻め派
工藤 まなみ,くどう まなみ,kudou_manami@example.com,女,36,1983/10/29,既婚,B型,愛知県,23,043-141-6180,090-4706-2963,au,左ルー・ルー攻め派
松本 一恵,まつもと かづえ,matsumoto_kadue@example.com,女,45,1974/12/3,未婚,A型,高知県,39,042-711-4250,080-7535-1510,au,ぶっかけ・混ぜ混ぜ派
古山 完爾,ふるやま かんじ,furuyama_kanji@example.com,男,36,1983/12/5,未婚,A型,東京都,13,024-806-3237,080-5011-4609,ドコモ,ぶっかけ・せき止め派
宮川 明,みやかわ あきら,miyakawa_akira1@example.com,男,21,1998/5/7,未婚,B型,神奈川県,14,037-720-5920,080-  21-6699,au,右ルー・ルー攻め派
玉木 恵麻,たまき えま,tamaki_ema@example.com,女,69,1950/6/12,既婚,O型,富山県,16,062- 77-8508,080-5200-4201,au,右ルー・せき止め派
末吉 文世,すえきち ふみよ,suekichi_fumiyo@example.com,女,10,2009/3/31,未婚,AB型,福岡県,40,016-246-9059,080-6036-2254,au,左ルー・ルー攻め派
宮部 サンタマリア,みやべ さんたまりあ,miyabe_stmaria@example.com,男,19,2000/12/3,未婚,A型,茨城県,08,034- 89-1450,090-1471-5144,ドコモ,ぶっかけ・混ぜ混ぜ派
今村 徹,いまむら とおる,imamura_tohru@example.com,男,39,1981/1/2,既婚,B型,北海道,01,021-647-3206,080-9745-6078,ドコモ,ぶっかけ・せき止め派
中原 遥,なかはら はるか,nakahara_haruka@example.com,女,26,1993/10/15,既婚,B型,青森県,02,068-973-1929,090-8593-7333,ドコモ,右ルー・ルー攻め派
清田 宏,きよた ひろし,kiyota_hiroshi@example.com,男,80,1939/5/13,既婚,B型,神奈川県,14,022-338-1393,080-4921-4285,ドコモ,右ルー・別口派
佐藤 愛子,さとう あいこ,satou_aiko@example.com,女,52,1967/11/5,既婚,AB型,京都府,26,080-342-2605,090-7196-6729,au,別盛り・せき止め派
川西 美帆,かわにし みほ,kawanishi_miho@example.com,女,79,1940/3/19,既婚,B型,千葉県,12,041-578-1935,080-1401-8547,ドコモ,ぶっかけ・ルー攻め派
佐伯 あおい,さえき あおい,saeki_aoi@example.com,女,76,1943/10/14,既婚,A型,東京都,13,022-802-6190,090-1167-6025,ドコモ,左ルー・ナン派
菊地 郁恵,きくち いくえ,kikuchi_ikue@example.com,女,81,1938/5/15,既婚,AB型,茨城県,08,090-923-  33,090-3705-2488,ドコモ,ぶっかけ・せき止め派
春日 将也,かすが まさや,kasuga_masaya@example.com,男,22,1998/1/24,未婚,A型,神奈川県,14,037-407-2765,080-1954-1561,ドコモ,左ルー・せき止め派
北川 真悠子,きたかわ まゆこ,kitakawa_mayuko@example.com,女,38,1981/12/30,既婚,A型,神奈川県,14,036-100-1025,090-1963-3361,au,右ルー・混ぜ混ぜ派
大泉 礼子,おおいずみ れいこ,ooizumi_reiko@example.com,女,43,1976/6/21,未婚,O型,愛媛県,38,014-628-5099,080-3705-9516,au,ぶっかけ・せき止め派
原 あおい,はら あおい,hara_aoi@example.com,女,44,1975/5/8,既婚,O型,宮城県,04,060- 45-7393,080-3959-7076,ドコモ,左ルー・混ぜ混ぜ派
明石 妃里,あかし ゆり,akashi_yuri@example.com,女,34,1985/10/1,未婚,A型,滋賀県,25,0 1-713-9252,090-1401-5512,au,左ルー・混ぜ混ぜ派
滝本 奈央,たきもと なお,takimoto_nao@example.com,女,66,1954/1/6,既婚,A型,東京都,13,070-507-6015,090-2080-1881,au,奥ルー・せき止め派
前川 隼士,まえかわ しゅんじ,maekawa_shunji@example.com,男,64,1955/4/5,既婚,O型,千葉県,12,0 2-413-7583,080-2270- 171,au,ぶっかけ・せき止め派
今 憲一,こん けんいち,kon_kenichi@example.com,男,47,1972/10/28,既婚,AB型,福島県,07,083-317- 771,090-9053-4383,ソフトバンク,左ルー・せき止め派
下川 沙耶,しもかわ さや,shimokawa_saya@example.com,女,85,1935/1/8,既婚,AB型,長野県,20,077-725-1029,090-9709-3545,ツーカー,ぶっかけ・せき止め派
大矢 美紀,おおや みき,ooya_miki@example.com,女,80,1939/10/31,既婚,AB型,京都府,26,061-980-6437,090-3770-2032,ソフトバンク,ぶっかけ・ナン派
堀江 砂羽,ほりえ さわ,horie_sawa@example.com,女,44,1975/4/16,既婚,A型,兵庫県,28,038-114-7845,080-9071-8854,ドコモ,右ルー・せき止め派
楠 広司,くすのき こうじ,kusunoki_kouji@example.com,男,84,1936/1/13,既婚,B型,埼玉県,11,064-685-8010,090-8297-3071,ソフトバンク,手前ルー・混ぜ混ぜ派
岩田 希,いわた のぞみ,iwata_nozomi@example.com,女,79,1940/7/19,既婚,AB型,宮崎県,45,028-296-4776,090-3518-6809,ソフトバンク,奥ルー・せき止め派
寺脇 博明,てらわき ひろあき,terawaki_hiroaki@example.com,男,25,1994/12/25,未婚,B型,神奈川県,14,011-216-4226,090- 803-4750,ドコモ,別盛り・ルー攻め派
八田 マサカズ,やつだ まさかず,yatsuda_masakazu@example.com,男,12,2007/3/27,未婚,O型,東京都,13,017-855-4163,090-5729-4705,au,ぶっかけ・せき止め派
今 まさみ,いま まさみ,ima_masami@example.com,女,83,1936/10/13,既婚,O型,大阪府,27,097-153-4491,080-3813-7340,ドコモ,右ルー・別口派
彼方 啓介,かなた けいすけ,kanata_keisuke@example.com,男,66,1953/12/4,既婚,B型,宮城県,04,0 5-458-4049,090- 266-1445,ソフトバンク,ぶっかけ・せき止め派
関根 雅之,せきね まさゆき,sekine_masayuki@example.com,男,68,1951/11/26,既婚,A型,佐賀県,41,0  -648-7182,080-2459-3723,ドコモ,ぶっかけ・せき止め派
坂下 まみ,さかした まみ,sakashita_mami@example.com,女,45,1975/2/3,既婚,A型,神奈川県,14,085-620-1555,090-1900-2570,ドコモ,左ルー・混ぜ混ぜ派
大地 結衣,おおち ゆい,oochi_yui@example.com,女,23,1996/10/31,既婚,A型,香川県,37,052-166-5862,090-7818-5719,ドコモ,奥ルー・ルー攻め派
松井 直人,まつい なおと,matsui_naoto1@example.com,男,48,1972/1/24,既婚,B型,福島県,07,071- 28-7683,080-5330-4770,au,ぶっかけ・混ぜ混ぜ派
米田 路子,よねだ みちこ,yoneda_michiko@example.com,女,50,1969/10/17,既婚,A型,愛知県,23,017-158-1082,090-9506-6782,au,ぶっかけ・ルー攻め派
野原 沙知絵,のはら さちえ,nohara_sachie@example.com,女,65,1954/3/24,既婚,B型,青森県,02,086-568-1709,090-5120-6554,ドコモ,ぶっかけ・ナン派
柳家 めぐみ,やなぎや めぐみ,yanagiya_megumi@example.com,女,32,1987/3/17,未婚,A型,香川県,37,031-443-2762,080-3933-4249,au,ぶっかけ・せき止め派
橋爪 芽以,はしづめ めい,hashidume_mei@example.com,女,28,1991/8/25,既婚,A型,埼玉県,11,089-680-4721,080-2427-8567,ソフトバンク,左ルー・ルー攻め派
浜崎 真一,はまさき しんいち,hamasaki_shinichi@example.com,男,59,1960/5/28,既婚,O型,神奈川県,14,014-524-3649,090-3725-8766,ドコモ,右ルー・別口派
塚原 ひとみ,つかはら ひとみ,tsukahara_hitomi@example.com,女,44,1975/7/7,既婚,B型,東京都,13,048-398-8504,080-1760-7257,au,左ルー・せき止め派
西脇 小百合,にしわき さゆり,nishiwaki_sayuri@example.com,女,32,1987/8/11,既婚,O型,東京都,13,023- 36-9078,090-2032-1325,ドコモ,手前ルー・混ぜ混ぜ派
岡部 仁晶,おかべ ひろあき,okabe_hiroaki@example.com,男,51,1968/11/29,既婚,B型,滋賀県,25,030-155-6720,090- 841-5948,ドコモ,ぶっかけ・ルー攻め派
倉本 結子,くらもと ゆうこ,kuramoto_yuuko@example.com,女,45,1974/11/21,既婚,A型,埼玉県,11,036-896-3068,090-6312-3632,ドコモ,ぶっかけ・ルー攻め派
黒崎 慶二,くろさき けいじ,kurosaki_keiji@example.com,男,22,1997/7/9,未婚,O型,長崎県,42,020-740-1048,080-7196-4427,ドコモ,左ルー・混ぜ混ぜ派
天野 雅功,あまの まさとし,amano_masatoshi@example.com,男,29,1990/3/26,既婚,AB型,愛知県,23,013-137-7564,080-1419-3263,ドコモ,左ルー・別口派
金井 麗奈,かない れな,kanai_rena@example.com,女,31,1988/6/29,既婚,A型,福岡県,40,049-553-8585,090-2229-8856,ソフトバンク,ぶっかけ・混ぜ混ぜ派
村上 一恵,むらかみ かづえ,murakami_kadue@example.com,女,33,1986/2/28,未婚,O型,愛知県,23,068-822-8460,090- 504-6785,ツーカー,ぶっかけ・せき止め派
下村 光,しもむら ひかる,shimomura_hikaru@example.com,男,80,1940/2/6,既婚,A型,福島県,07,038-933- 421,080-4829-5369,ドコモ,ぶっかけ・ルー攻め派
小玉 愛梨,こだま あいり,kodama_airi@example.com,女,55,1964/12/9,既婚,A型,山形県,06,021-351-6495,090-9181-2672,ソフトバンク,左ルー・混ぜ混ぜ派
